name,SW,HMM,HD,HMM_corrected
VC_0920,NE,NE,0,NE
VC_0921,D,S,0,S
VC_0922,NE,NE,0,NE
VC_0923,NE,NE,0,NE
VC_0924,NE,NE,0,NE
VC_0925,NE,NE,0,NE
VC_0926,NE,NE,0,NE
VC_0927,NE,NE,0,NE
VC_0928,D,S,0,S
VC_0929,D,S,1,S
VC_0930,NE,NE,0,NE
VC_0931,NE,NE,0,NE
VC_0932,NE,NE,0,NE
VC_0933,NE,NE,0,NE
VC_0934,NE,NE,0,NE
VC_0935,D,NE,0,NE
VC_0936,NE,NE,0,NE
VC_0937,D,NE,0,NE
VC_0938,NE,NE,0,NE
VC_0939,NE,NE,0,NE
VC_0940,NE,NE,0,NE
VC_0941,D,S,1,S
VC_0942,NE,NE,0,NE
VC_0943,D,S,1,S
VC_0944,D,S,0,S
VC_0945,E,E,1,E
VC_0946,n/a,NE,0,NE
VC_0947,D,E,1,E
VC_0948,NE,NE,0,NE
VC_0949,E,E,1,E
VC_0950,D,E,1,E
VC_0951,NE,NE,0,NE
VC_0952,NE,NE,0,NE
VC_0953,E,E,1,E
VC_0954,E,E,1,E
VC_0955,n/a,NE,0,NE
VC_0956,E,E,1,E
VC_0957,NE,NE,0,NE
VC_0958,NE,NE,0,NE
VC_0959,NE,NE,0,NE
VC_0960,NE,S,1,S
VC_0961,NE,S,0,S
VC_0962,NE,NE,0,NE
VC_0963,D,S,1,S
VC_0964,NE,NE,0,NE
VC_0965,NE,NE,0,NE
VC_0966,NE,NE,0,NE
VC_0967,n/a,NE,0,NE
VC_0968,NE,NE,0,NE
VC_0969,D,NE,0,NE
VC_0970,D,S,1,S
VC_0971,E,E,1,E
VC_0972,NE,NE,0,NE
VC_0973,NE,NE,0,NE
VC_0974,NE,NE,0,NE
VC_0975,D,NE,0,NE
VC_0976,NE,NE,0,NE
VC_0977,D,NE,0,NE
VC_0978,n/a,NE,0,NE
VC_0979,NE,NE,0,NE
VC_0980,NE,NE,0,NE
VC_0981,NE,NE,0,NE
VC_0982,NE,NE,0,NE
VC_0983,NE,NE,0,NE
VC_0984,NE,NE,0,NE
VC_0985,NE,NE,0,NE
VC_0986,E,E,1,E
VC_0987,E,E,1,E
VC_0988,NE,NE,0,NE
VC_0989,n/a,NE,0,NE
VC_0990,NE,NE,0,NE
VC_0991,NE,NE,0,NE
VC_0992,NE,NE,0,NE
VC_0993,NE,NE,0,NE
VC_0994,NE,NE,0,NE
VC_0995,NE,NE,0,NE
VC_0996,n/a,NE,1,NE
VC_0997,D,E,1,E
VC_0998,NE,NE,0,NE
VC_0999,NE,NE,0,NE
VC_1000,D,E,1,E
VC_1001,E,E,1,E
VC_1002,NE,NE,0,NE
VC_1003,NE,NE,0,NE
VC_1004,NE,NE,0,NE
VC_1005,NE,NE,0,NE
VC_1006,NE,NE,0,NE
VC_1007,n/a,NE,0,NE
VC_1008,D,NE,0,NE
VC_1009,NE,NE,0,NE
VC_1010,NE,NE,0,NE
VC_1011,NE,NE,0,NE
VC_1012,D,D,1,D
VC_1013,E,E,1,E
VC_1014,E,E,1,E
VC_1015,D,D,1,D
